 area_unit,bathrooms,bedrooms,home_size,home_type,last_sold_date,last_sold_price,link,price,property_size,rent_price,rentzestimate_amount,rentzestimate_last_updated,tax_value,tax_year,year_built,zestimate_amount,zestimate_last_updated,zillow_id,address,city,state,zipcode
 SqFt,2.0,4,1496,SingleFamily,08/19/2016,752000,https://www.zillow.com/homedetails/4921-Hesperia-Ave-Encino-CA-91316/19949814_zpid/,$752K,6764,,3450,08/07/2018,752000.0,2017,1948,892063,08/07/2018,19949814,4921 Hesperia Ave,Encino,CA,91316
 SqFt,2.0,4,1404,SingleFamily,05/24/2016,726000,https://www.zillow.com/homedetails/5112-Newcastle-Ave-Encino-CA-91316/19950118_zpid/,$726K,6098,,3300,08/07/2018,740520.0,2017,1948,950205,08/07/2018,19950118,5112 Newcastle Ave,Encino,CA,91316
 SqFt,2.0,4,1488,SingleFamily,08/26/2015,705000,https://www.zillow.com/homedetails/4935-Enfield-Ave-Encino-CA-91316/19950156_zpid/,$705K,6100,,3490,08/07/2018,719100.0,2017,1948,932935,08/07/2018,19950156,4935 Enfield Ave,Encino,CA,91316
 SqFt,5.0,6,4730,SingleFamily,,,https://www.zillow.com/homedetails/4725-White-Oak-Pl-Encino-CA-91316/19950331_zpid/,$3.00M,16966,,6534,08/07/2018,892782.0,2017,1955,2844157,08/07/2018,19950331,4725 White Oak Pl,Encino,CA,91316
 SqFt,6.0,5,4471,SingleFamily,04/19/2018,2569000,https://www.zillow.com/homedetails/17711-Karen-Dr-Encino-CA-91316/19950362_zpid/,$2.57M,12553,,9500,08/07/2018,1124204.0,2017,1954,2612773,08/07/2018,19950362,17711 Karen Dr,Encino,CA,91316
 SqFt,7.0,5,5495,SingleFamily,05/18/2018,2950000,https://www.zillow.com/homedetails/18115-Karen-Dr-Tarzana-CA-91356/19950507_zpid/,$2.95M,19453,,11796,08/07/2018,1126000.0,2017,1953,2998097,08/07/2018,19950507,18115 Karen Dr,Tarzana,CA,91356
 SqFt,8.0,7,7765,SingleFamily,07/27/2011,1460014,https://www.zillow.com/homedetails/18255-Karen-Dr-Tarzana-CA-91356/19950554_zpid/,$3.00M,18421,,17173,08/07/2018,1580098.0,2017,2007,3171967,08/07/2018,19950554,18255 Karen Dr,Tarzana,CA,91356
 SqFt,3.0,5,2918,SingleFamily,11/22/2017,2075000,https://www.zillow.com/homedetails/4455-Gable-Dr-Encino-CA-91316/19950560_zpid/,$2.08M,65775,,8995,08/07/2018,1152287.0,2017,1951,1960133,08/07/2018,19950560,4455 Gable Dr,Encino,CA,91316
 SqFt,6.0,5,6270,SingleFamily,04/27/2010,50000,https://www.zillow.com/homedetails/4533-Grimes-Pl-Encino-CA-91316/19950590_zpid/,$2.96M,34848,,19050,08/07/2018,2224431.0,2017,2008,3276262,08/07/2018,19950590,4533 Grimes Pl,Encino,CA,91316
 SqFt,4.0,5,2852,SingleFamily,02/23/2018,1875000,https://www.zillow.com/homedetails/18065-Boris-Dr-Encino-CA-91316/19950626_zpid/,$1.88M,19035,,5976,08/07/2018,1216775.0,2017,1952,1758398,08/07/2018,19950626,18065 Boris Dr,Encino,CA,91316
 SqFt,3.0,4,2730,SingleFamily,03/15/2017,1800000,https://www.zillow.com/homedetails/4544-Martson-Dr-Encino-CA-91316/19950688_zpid/,$1.8M,55615,,6700,08/07/2018,1239300.0,2017,1959,1534564,08/07/2018,19950688,4544 Martson Dr,Encino,CA,91316
 SqFt,6.0,5,5397,SingleFamily,10/14/2015,2705000,https://www.zillow.com/homedetails/4155-Green-Meadow-Ct-Encino-CA-91316/19950968_zpid/,$2.71M,18687,,11500,08/07/2018,2759100.0,2017,1975,3326128,08/07/2018,19950968,4155 Green Meadow Ct,Encino,CA,91316
